x,y,mjd,maj,min,radius,theta,size,ratio,pos,flux,date,year,component_number,is_core,delta_x_est,delta_y_est,distance_to_core,redshift,freq,tb,scale,lin_pol,evpa
4.7817949599959775e-09,3.1178291948208425e-08,55389.0,0.0,0.0,0.11355426375059287,8.719474212548594,0.0,0.0,0.0,0.18242906033992767,2010-07-12,2010.5256673511294,0,True,0.0,0.0,0.0,0,15357490000.0,768061391.271155,3600000.0,0,0
-1.71244760593936e-08,-7.85568303740547e-08,55389.0,8.325991984747816e-08,8.325991984747816e-08,0.2894458942398366,-167.70256426940097,0.29973571145092137,1.0,-176.8951416015625,0.13159313797950745,2010-07-12,2010.5256673511294,1,False,-2.1906271019389578e-08,-1.0973512232226312e-07,1.1190032073706044e-07,0,15357490000.0,554032391.8236854,3600000.0,0,0
-1.487490521867585e-07,-2.7760168563872867e-07,55389.0,2.329513080212564e-07,2.329513080212564e-07,1.1337941321470826,-151.81597945527503,0.8386247088765231,1.0,-146.6726531982422,0.05446605756878853,2010-07-12,2010.5256673511294,2,False,-1.5353084714675447e-07,-3.087799775869371e-07,3.4484314634945185e-07,0,15357490000.0,229312566.07576036,3600000.0,0,0
1.8802497336878332e-08,-6.351983188324084e-07,55389.0,3.351711654886458e-07,3.351711654886458e-07,2.2877155589082596,178.30448345979516,1.2066161957591248,1.0,-137.3677978515625,0.049913886934518814,2010-07-12,2010.5256673511294,3,False,1.4020702376882355e-08,-6.663766107806168e-07,6.665240937059986e-07,0,15357490000.0,177338258.19795612,3600000.0,0,0
5.0256927508485205e-09,-2.449964953132877e-10,55513.0,0.0,0.0,0.018113979059722556,92.79089114705955,0.0,0.0,0.0,0.19304201006889343,2010-11-13,2010.8651608487337,0,True,0.0,0.0,0.0,0,15357490000.0,1365315345.5504563,3600000.0,0,0
-1.1262000754186374e-07,-4.1097092662312207e-07,55513.0,2.518117412364518e-07,2.518117412364518e-07,1.5340409308168519,-164.67521770384008,0.9065222684512264,1.0,-146.34780883789062,0.07564832270145416,2010-11-13,2010.8651608487337,2,False,-1.1764570029271226e-07,-4.107259301278088e-07,4.272426716477608e-07,0,15357490000.0,476169635.4013533,3600000.0,0,0
-2.8069015556297927e-08,-1.1213873563065135e-07,55513.0,6.738788016491526e-08,6.738788016491526e-08,0.41615385976139274,-165.94724826820854,0.24259636859369493,1.0,-159.20809936523438,0.07660604268312454,2010-11-13,2010.8651608487337,1,False,-3.309470830714645e-08,-1.1189373913533807e-07,1.1668534002016789e-07,0,15357490000.0,541806447.2071974,3600000.0,0,0
1.128590412236008e-07,-8.321796940435888e-07,55513.0,4.0120718836078595e-07,4.0120718836078595e-07,3.0232717830989846,172.2767465688273,1.4443458780988294,1.0,-129.52415466308594,0.023992829024791718,2010-11-13,2010.8651608487337,3,False,1.0783334847275228e-07,-8.319346975482755e-07,8.388941363650044e-07,0,15357490000.0,59491976.09212193,3600000.0,0,0
3.5754945670873894e-09,9.45268219254558e-09,55619.0,0.0,0.0,0.036382691103623924,20.719217201460495,0.0,0.0,0.0,0.1996471881866455,2011-02-27,2011.1553730321698,0,True,0.0,0.0,0.0,0,15357490000.0,1503242148.2001615,3600000.0,0,0
-9.81963594881563e-08,-4.5140004090171715e-07,55619.0,2.7925142376261647e-07,2.7925142376261647e-07,1.6630461822747669,-167.72723743810187,1.0053051255454193,1.0,180.0,0.06923949718475342,2011-02-27,2011.1553730321698,2,False,-1.017718540552437e-07,-4.6085272309426273e-07,4.7195629316838125e-07,0,15357490000.0,354386737.0635845,3600000.0,0,0
